ID_ch_wc_cru;ID_iucn;species
700;1657;Dipodomys ordii
701;1658;Dipus sagitta
702;1659;Dremomys lokriah
703;1660;Dremomys pernyi
704;1662;Dryomys nitedula
705;1663;Eligmodontia morgani
706;1665;Eolagurus przewalskii
707;1667;Caryomys inez
708;1668;Eothenomys melanogaster
709;1671;Eptesicus diminutus
710;1673;Funisciurus anerythrus
711;1675;Funisciurus congicus
712;1677;Funisciurus isabella
713;1679;Gerbillus henleyi
714;1683;Grammomys kuru
715;1685;Graphiurus christyi
716;1686;Graphiurus crassicaudatus
717;1689;Glaucomys volans
718;1690;Golunda ellioti
719;1692;Grammomys cometes
720;1693;Grammomys dolichurus
721;1695;Graphiurus kelleni
722;1696;Graphiurus lorraineus
723;1698;Graphiurus murinus
724;1699;Graphiurus ocularis
725;1700;Hylomyscus parvus
726;1703;Heliosciurus rufobrachium
727;1705;Heterocephalus glaber
728;1707;Holochilus brasiliensis
729;1709;Heliophobius argenteocinereus
730;1710;Heliosciurus gambianus
731;1711;Heliosciurus mutabilis
732;1714;Holochilus sciureus
733;1716;Hylomyscus alleni
734;1719;Hylopetes spadiceus
735;1721;Lagurus lagurus
736;1724;Hypsignathus monstrosus
737;1725;Hystrix africaeaustralis
738;1726;Hystrix brachyura
739;1727;Hystrix indica
740;1728;Iomys horsfieldii
741;1732;Jaculus blanfordi
742;1733;Jaculus jaculus
743;1734;Jaculus orientalis
744;1737;Lasiopodomys brandtii
745;1738;Lasiopodomys mandarinus
746;1739;Lasiurus intermedius
747;1740;Leggadina forresti
748;1743;Lemmus amurensis
749;1744;Lemmus sibiricus
750;1746;Lemniscomys griselda
751;1749;Lemniscomys macculus
752;1750;Lemniscomys rosalia
753;1752;Lemniscomys striatus
754;1755;Leopoldamys edwardsi
755;1757;Lepus yarkandensis
756;1759;Lophuromys nudicaudus
757;1760;Lophuromys sikapusi
758;1763;Malacomys edwardsi
759;1764;Malacomys longipes
760;1765;Malacothrix typica
761;1768;Sciurus vulgaris
762;1769;Marmota himalayana
763;1774;Microtus levis
764;1775;Microtus socialis
765;1776;Microtus guentheri
766;1777;Marmota baibacina
767;1778;Marmota bobak
768;1779;Marmota camtschatica
769;1780;Mastomys erythroleucus
770;1781;Mastomys natalensis
771;1782;Melanomys caliginosus
772;1784;Microtus subterraneus
773;1788;Melomys burtoni
774;1790;Paramelomys platyops
775;1792;Melomys rufescens
776;1793;Menetes berdmorei
777;1795;Meriones unguiculatus
778;1798;Meriones hurrianae
779;1799;Meriones libycus
780;1800;Meriones meridianus
781;1802;Meriones tamariscinus
782;1805;Meriones tristrami
783;1807;Micromys minutus
784;1809;Microryzomys minutus
785;1810;Microtus agrestis
786;1813;Microtus fortis
787;1814;Microtus gregalis
788;1817;Microtus limnophilus
789;1818;Microtus maximowiczii
790;1820;Microtus oeconomus
791;1821;Microtus pennsylvanicus
792;1825;Microtus mexicanus
793;1826;Microtus middendorffii
794;1827;Microtus mongolicus
795;1829;Millardia meltada
796;1832;Mus booduga
797;1834;Mus caroli
798;1835;Mus indutus
799;1836;Mus cookii
800;1839;Mus macedonicus
801;1840;Sicista betulina
802;1841;Mus mahomet
803;1842;Mus minutoides
804;1843;Mus musculus
805;1847;Mus spretus
806;1848;Mus spicilegus
807;1849;Mus pahari
808;1850;Mus phillipsi
809;1851;Mus saxicola
810;1852;Myocastor coypus
811;1853;Myopus schisticolor
812;1854;Mus tenellus
813;1855;Mus terricolor
814;1856;Mus triton
815;1858;Muscardinus avellanarius
816;1861;Myospalax aspalax
817;1862;Eospalax fontanierii
818;1863;Myospalax psilurus
819;1866;Myotis elegans
820;1867;Myotis levis
821;1868;Nannosciurus melanotis
822;1869;Neacomys spinosus
823;1871;Nectomys rattus
824;1872;Nectomys squamipes
825;1874;Neotoma albigula
826;1876;Notomys mitchellii
827;1877;Nyctomys sumichrasti
828;1879;Oecomys bicolor
829;1882;Oligoryzomys destructor
830;1883;Oligoryzomys eliurus
831;1884;Oligoryzomys flavescens
832;1885;Oligoryzomys fulvescens
833;1886;Oligoryzomys longicaudatus
834;1887;Oligoryzomys microtis
835;1888;Onychomys arenicola
836;1889;Onychomys leucogaster
837;1890;Onychomys torridus
838;1891;Orthogeomys hispidus
839;1892;Oxymycterus roberti
840;1895;Nephelomys albigularis
841;1896;Handleyomys alfaroi
842;1897;Oryzomys couesi
843;1898;Euryoryzomys macconnelli
844;1899;Euryoryzomys nitidus
845;1900;Handleyomys rostratus
846;1901;Cerradomys subflavus
847;1902;Otomys angoniensis
848;1903;Otomys unisulcatus
849;1905;Ototylomys phyllotis
850;1906;Oxymycterus angularis
851;1908;Oxymycterus hispidus
852;1910;Oxymycterus nasutus
853;1911;Sicista concolor
854;1912;Dipodomys merriami
855;1914;Peromyscus difficilis
856;1915;Peromyscus eremicus
