TaxID,Order,Family,Genus,species,AdultBodyMass_g,GenerationLength_d,Sources_AdultBodyMass,Max_longevity_d,Sources_Max_longevity,Rspan_d,AFR_d,Data_AFR,Calculated_GL_d,,Sources_GL
11387,Rodentia,Muridae,Leimacomys,Leimacomys_buettneri,54.99,624.3996409,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
42624,Rodentia,Cricetidae,Lemmiscus,Lemmiscus_curtatus,28.27,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
11480,Rodentia,Cricetidae,Lemmus,Lemmus_amurensis,46.25861204,308.1925,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11481,Rodentia,Cricetidae,Lemmus,Lemmus_lemmus,67.62,308.1925,PanTHERIA,967.25,PanTHERIA;AnAge,928.25,39,PanTHERIA,308.1925,,Rspan-AFB
136303,Rodentia,Cricetidae,Lemmus,Lemmus_portenkoi,59.37715301,308.1925,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11482,Rodentia,Cricetidae,Lemmus,Lemmus_sibiricus,53.81,308.1925,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
136712,Rodentia,Cricetidae,Lemmus,Lemmus_trimucronatus,69.82,308.1925,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11487,Rodentia,Muridae,Lemniscomys,Lemniscomys_barbarus,26.15,476.46485,PanTHERIA,1606,AnAge,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11488,Rodentia,Muridae,Lemniscomys,Lemniscomys_bellieri,32.56,476.46485,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11489,Rodentia,Muridae,Lemniscomys,Lemniscomys_griselda,55.87,476.46485,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11490,Rodentia,Muridae,Lemniscomys,Lemniscomys_hoogstraali,37.04333333,476.46485,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11491,Rodentia,Muridae,Lemniscomys,Lemniscomys_linulus,30.38,476.46485,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11492,Rodentia,Muridae,Lemniscomys,Lemniscomys_macculus,26.5,476.46485,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11486,Rodentia,Muridae,Lemniscomys,Lemniscomys_mittendorfi,41.85,476.46485,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
