"","x"
"621","Eliurus_majori"
"622","Eliurus_minor"
"623","Eliurus_myoxinus"
"624","Eliurus_penicillatus"
"625","Eliurus_petteri"
"626","Eliurus_tanala"
"627","Ellobius_fuscocapillus"
"628","Ellobius_lutescens"
"629","Ellobius_talpinus"
"630","Ellobius_tancrei"
"631","Eolagurus_luteus"
"632","Eolagurus_przewalskii"
"633","Eospalax_fontanierii"
"634","Eospalax_rothschildi"
"635","Eospalax_smithii"
"636","Eothenomys_cachinus"
"637","Eothenomys_melanogaster"
"638","Eothenomys_miletus"
"639","Eothenomys_olitor"
"640","Eozapus_setchuanus"
"641","Episoriculus_caudatus"
"642","Episoriculus_macrurus"
"643","Epixerus_ebii"
"644","Eremitalpa_granti"
"645","Eremodipus_lichtensteini"
"646","Erinaceus_amurensis"
"647","Erinaceus_concolor"
"648","Erinaceus_europaeus"
"649","Erinaceus_roumanicus"
"650","Eropeplus_canus"
"651","Euchoreutes_naso"
"652","Euneomys_chinchilloides"
"653","Euneomys_mordax"
"654","Euneomys_petersoni"
"655","Euroscaptor_grandis"
"656","Euroscaptor_klossi"
"657","Euroscaptor_longirostris"
"658","Euroscaptor_micrura"
"659","Euroscaptor_mizura"
"660","Euroscaptor_parvidens"
"661","Euroscaptor_subanura"
"662","Euryoryzomys_emmonsae"
"663","Euryoryzomys_macconnelli"
"664","Euryoryzomys_nitidus"
"665","Euryoryzomys_russatus"
"666","Euryzygomatomys_spinosus"
"667","Eutamias_sibiricus"
"668","Exilisciurus_concinnus"
"669","Exilisciurus_exilis"
"670","Exilisciurus_whiteheadi"
"671","Felovia_vae"
"672","Feroculus_feroculus"
"673","Fukomys_anselli"
"674","Fukomys_bocagei"
"675","Fukomys_damarensis"
"676","Fukomys_darlingi"
"677","Fukomys_foxi"
"678","Fukomys_kafuensis"
"679","Fukomys_mechowi"
"680","Fukomys_ochraceocinereus"
"681","Funambulus_palmarum"
"682","Funambulus_pennantii"
"683","Funambulus_tristriatus"
"684","Funisciurus_anerythrus"
"685","Funisciurus_carruthersi"
"686","Funisciurus_congicus"
"687","Funisciurus_isabella"
"688","Funisciurus_lemniscatus"
"689","Funisciurus_leucogenys"
"690","Funisciurus_pyrropus"
"691","Funisciurus_substriatus"
"692","Galea_flavidens"
"693","Galea_leucoblephara"
"694","Galea_musteloides"
"695","Galea_spixii"
"696","Galemys_pyrenaicus"
"697","Galenomys_garleppi"
"698","Geocapromys_brownii"
"699","Geogale_aurita"
"700","Geomys_arenarius"
"701","Geomys_breviceps"
"702","Geomys_bursarius"
"703","Geomys_knoxjonesi"
"704","Geomys_personatus"
"705","Geomys_pinetis"
"706","Geomys_texensis"
"707","Georychus_capensis"
"708","Gerbilliscus_boehmi"
"709","Gerbilliscus_brantsii"
"710","Gerbilliscus_gambiana"
"711","Gerbilliscus_guineae"
"712","Gerbilliscus_kempi"
"713","Gerbilliscus_leucogaster"
"714","Gerbilliscus_nigricaudus"
"715","Gerbilliscus_robustus"
"716","Gerbilliscus_validus"
"717","Gerbillurus_paeba"
"718","Gerbillurus_setzeri"
"719","Gerbillurus_tytonis"
"720","Gerbillus_acticola"
"721","Gerbillus_amoenus"
"722","Gerbillus_andersoni"
"723","Gerbillus_aquilus"
"724","Gerbillus_campestris"
"725","Gerbillus_cheesmani"
